,Linear Regression,Ridge,Lasso,Decision Tree,Random Forest,XGBoost
Hour,0.3099340577600448,0.3098501217218581,0.30868596880161103,0.12201069240851144,0.12057701873282246,0.0030715326
Temperature(°C),-0.10730964085571962,-0.09202202472467622,0.0,0.16111781751595156,0.16111737421171846,0.004069043
Humidity(%),-0.5111234609772074,-0.503813472776006,-0.4581373525768497,0.04155197538772307,0.07265591311978531,0.0028236345
Wind speed (m/s),-0.007690577165056733,-0.007739050197080208,-0.0067506557441172205,0.006380329495232952,0.009696854961177727,0.00022430686
Visibility (10m),-0.007277375992374399,-0.007036500744447092,-0.003400016119052951,0.0038845518033126312,0.011113464675070437,0.00030028436
Dew point temperature(°C),0.6705695205160038,0.6527237830551976,0.5438733707059937,0.007623752532978151,0.01305232355190274,0.0005460078
Solar Radiation (MJ/m2),0.035425580079989166,0.03504557747412006,0.03186792493730811,0.004122713216845111,0.008756871400779959,0.00050946994
Rainfall(mm),-0.3755563800954082,-0.3758149138636265,-0.37682637728338175,0.10255520503099023,0.07469288416094245,0.02207652
Snowfall (cm),-0.011316506267521613,-0.011463825393775105,-0.011246386623449317,0.0019858352461582674,0.001706060192094762,0.00076860574
Functioning Day,1.1888879909775132,1.1886107614464614,1.1866936507365828,0.5043130446383385,0.4809135305052272,0.9222342
Month,0.0342322615198159,0.03430084505507907,0.034302073029813036,0.004721101829674047,0.008179181086636872,0.0004986339
Seasons_Spring,-0.126192108438018,-0.1260753263444541,-0.12271564350331352,0.0038522328798091766,0.0048280170980371465,0.0013141676
Seasons_Summer,-0.11497608936802758,-0.11467292658942045,-0.10985769456314322,0.00011360261436035637,0.0006928448777754073,0.00032222777
Seasons_Winter,-0.34288321538238997,-0.34260679972424335,-0.3398028261121666,0.023302695540533283,0.01973311347222045,0.038691368
Holiday_No Holiday,0.07896930420921142,0.07896971812111547,0.07791223995571407,0.0033601256768345873,0.0029577637044821753,0.0019830863
DayOfWeek,-0.015488948370655592,-0.015588310144168631,-0.015151046064369839,0.00910432418274669,0.009326784249326566,0.0005669229
